id,title,country,year,averageScore,popularity,score,berserk_cos,centroid_cos,top_tags,label_group
33378,Kimi ni Todoke: From Me to You,JP,2006,82.0,36496,0.4371335378260044,0.14702420380917008,0.14472930586986987,"Shoujo, Female Protagonist, School, Coming of Age, Heterosexual",
139699,I’m the Evil Lord of an Intergalactic Empire!,JP,2021,71.0,6769,0.4371018230102766,0.16893695836569686,0.3445184659839022,"Isekai, Artificial Intelligence, Reincarnation, Space, Super Robot",
139966,Nyanta to Pomeko: Imasara Shinjite Iru to Iwaretemo Mou Teokure da,JP,2021,73.0,8987,0.4370844296956967,0.13838107012609172,0.23263312462314767,"School, Writing, Male Protagonist, Heterosexual, Female Protagonist",
134369,Medaka Kuroiwa is Impervious to My Charms,JP,2021,69.0,24988,0.4368743987127673,0.10162488711708247,0.2174157336137646,"Heterosexual, Female Harem, Love Triangle, Female Protagonist, School",
98347,The Ideal Sponger Life,JP,2017,70.0,9970,0.4363903805146926,0.3554473813116825,0.3366336628880234,"Politics, Isekai, Male Protagonist, Seinen, Tomboy",
119363,Player,KR,2020,78.0,16582,0.4362461428509247,0.29637248267325395,0.5479325495864286,"Male Protagonist, Isekai, Full Color, Super Power, Love Triangle",
104677,Her Tale of Shim Chong,KR,2017,82.0,11348,0.4361716773332569,0.1580958928151233,0.22129269219227887,"Female Protagonist, Full Color, Yuri, Historical, Primarily Adult Cast",
85319,Fairy Tail Zerø,JP,2014,75.0,12485,0.43599988882034957,0.24326762790635525,0.42917380197994215,"Female Protagonist, Magic, Shounen, Tragedy, Fairy Tale",
111590,Ichawon Yongbyeong,KR,2017,66.0,7390,0.4359405834276827,0.29707693000888946,0.557195004529243,"Isekai, Male Protagonist, Full Color, Swordplay, Torture",
100805,Here U Are,CN,2017,85.0,29631,0.4359203252109051,0.14523666134659577,0.2047983171565594,"Boys' Love, Male Protagonist, LGBTQ+ Themes, Primarily Male Cast, Full Color",
114728,The Blood of Madam Giselle,KR,2019,64.0,6361,0.43591499605151374,0.21673504093226065,0.24785205586675155,"Vampire, Female Protagonist, Full Color, Netorare, Royal Affairs",
86717,Wotakoi: Love is Hard for Otaku,JP,2014,83.0,63124,0.435841157365444,0.1011193075832009,0.1559788330933228,"Otaku Culture, Primarily Adult Cast, Office Lady, Video Games, Work",
38586,THE BREAKER,KR,2007,80.0,38800,0.4355579174314079,0.2891802336287521,0.43015058310430265,"Martial Arts, Revenge, Nudity, Male Protagonist, Gangs",
